MonthPE,DayPE,Daily_Temp,Daily_Precipitation,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_DHI,Daily_radiation
10,18,26.346153846153847,53.73076923076923,85.56923076923076,1008.6692307692308,225.84615384615384,2.423076923076923,0.0,79.15384615384616,79.15384615384616
7,25,24.54615384615384,55.16923076923076,92.93076923076924,1010.8846153846154,246.53846153846155,4.1000000000000005,10.692307692307692,256.38461538461536,261.0769230769231
2,21,30.216666666666665,42.925,69.94166666666666,1006.3916666666668,231.91666666666663,2.5333333333333328,155.83333333333334,317.8333333333333,433.0833333333333
12,30,28.391666666666666,35.775,70.08333333333334,1007.5583333333334,279.6666666666667,1.175,64.83333333333333,288.5833333333333,340.0833333333333
1,19,28.55,33.15833333333334,69.99166666666666,1006.5499999999998,236.16666666666663,2.208333333333333,114.91666666666669,305.1666666666667,382.9166666666667
10,17,27.200000000000003,53.91538461538463,80.82307692307694,1009.446153846154,234.69230769230768,1.4692307692307691,116.46153846153848,301.61538461538464,381.38461538461536
6,3,26.26153846153846,59.44615384615385,88.9923076923077,1008.7153846153846,198.0,1.661538461538462,72.07692307692308,197.30769230769232,248.30769230769232
5,12,27.561538461538458,58.72307692307693,81.77692307692308,1007.8615384615384,186.6153846153846,1.4692307692307691,390.0769230769231,209.15384615384616,486.7692307692308
6,19,25.846153846153847,55.46923076923077,90.76923076923076,1008.053846153846,219.92307692307693,2.661538461538462,243.3846153846154,220.0,416.2307692307692
7,30,26.707692307692305,48.0,76.18461538461538,1012.0,227.92307692307693,6.323076923076924,268.61538461538464,256.46153846153845,452.38461538461536
9,22,26.153846153846157,48.81538461538461,80.19999999999999,1009.0846153846156,235.7692307692308,4.184615384615385,138.07692307692307,276.0,375.9230769230769
7,15,24.50769230769231,58.669230769230765,85.29230769230767,1010.646153846154,264.2307692307692,3.446153846153846,3.692307692307693,249.30769230769232,252.30769230769232
5,29,26.06153846153846,55.76923076923077,86.83076923076922,1008.7076923076924,203.92307692307693,2.630769230769231,0.0,128.15384615384616,128.15384615384616
1,14,28.741666666666664,43.99166666666667,60.71666666666668,1004.5166666666668,166.33333333333334,1.0416666666666667,248.0,247.91666666666663,430.8333333333333
9,16,27.97692307692308,52.52307692307692,71.9076923076923,1010.0538461538462,225.07692307692307,4.792307692307692,407.6923076923077,177.46153846153845,506.38461538461536
4,4,28.10769230769231,48.03076923076923,80.1846153846154,1004.769230769231,201.84615384615384,2.976923076923077,114.84615384615384,296.15384615384613,396.1538461538461
5,29,27.0,55.0,88.10000000000001,1009.0538461538462,220.7692307692308,2.223076923076923,356.53846153846155,200.0,476.5384615384616
1,23,27.875,51.15,83.8,1006.9249999999998,231.16666666666663,1.933333333333333,250.41666666666663,278.75,440.3333333333333
6,28,25.91538461538461,51.576923076923066,82.94615384615385,1008.7,247.23076923076923,3.3,126.92307692307692,277.15384615384613,374.9230769230769
10,10,26.23076923076923,52.40769230769232,83.36923076923078,1007.1846153846157,186.15384615384616,1.9769230769230768,220.53846153846155,240.15384615384616,422.61538461538464
6,20,25.376923076923077,52.23076923076923,88.26153846153846,1010.2461538461538,240.46153846153845,3.8846153846153846,10.846153846153848,256.0,266.2307692307692
8,24,26.800000000000004,54.43076923076922,77.33076923076923,1012.9846153846156,229.53846153846155,6.4692307692307685,90.6153846153846,324.6923076923077,395.7692307692308
9,6,25.23076923076923,53.99230769230769,87.7923076923077,1009.2923076923076,226.84615384615384,3.0615384615384618,126.0,267.15384615384613,372.0769230769231
1,2,28.71666666666667,26.916666666666668,53.88333333333333,1007.8416666666668,153.5,0.8833333333333333,193.58333333333331,276.25,412.3333333333333
1,25,29.04166666666666,44.76666666666667,70.48333333333333,1007.4916666666668,229.75,1.7166666666666668,345.0833333333333,231.66666666666663,476.9166666666667
8,19,25.07692307692308,41.56153846153846,80.1,1009.3153846153848,217.92307692307693,3.192307692307693,347.0,217.23076923076923,466.2307692307692
5,28,27.423076923076923,54.58461538461539,80.66923076923078,1006.4615384615386,238.53846153846155,2.023076923076923,265.46153846153845,251.6153846153846,423.61538461538464
3,26,28.146153846153847,51.169230769230765,78.77692307692307,1006.153846153846,226.84615384615384,2.792307692307692,66.23076923076923,307.0,370.0769230769231
6,11,26.60769230769231,57.53076923076923,89.35384615384615,1007.2615384615384,242.3846153846154,2.6923076923076925,171.92307692307693,264.0769230769231,390.38461538461536
3,13,28.71666666666667,50.29166666666666,74.50000000000001,1005.6166666666668,209.66666666666663,1.7166666666666668,168.25,329.0,452.6666666666667
3,28,29.646153846153847,52.18461538461538,76.25384615384615,1006.1307692307691,227.84615384615384,2.3692307692307693,176.53846153846155,291.2307692307692,438.61538461538464
12,19,28.39230769230769,36.13076923076923,75.96923076923075,1007.2230769230767,268.0769230769231,1.146153846153846,186.69230769230768,256.9230769230769,377.1538461538461
3,25,29.12307692307692,50.64615384615384,74.13846153846154,1006.0923076923076,197.15384615384616,2.9153846153846152,166.76923076923077,309.38461538461536,428.38461538461536
5,1,28.769230769230766,54.52307692307693,74.65384615384616,1007.0153846153844,230.46153846153845,2.915384615384616,349.38461538461536,211.30769230769232,494.6923076923077
9,27,25.892307692307693,56.15384615384615,84.47692307692309,1007.7076923076924,235.07692307692307,1.8692307692307693,373.84615384615387,209.84615384615384,495.0
11,4,26.74615384615384,49.30769230769231,84.47692307692309,1007.9846153846156,200.7692307692308,2.1,34.76923076923077,192.53846153846155,220.15384615384616
