,MonthPE,DayPE,Date,Daily_Temp,Daily_Precipitation,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_GHI,Daily_radiation
2017-03-04,3,4,2017-03-04,29.200000000000003,46.00833333333333,75.175,1003.6750000000001,202.75,2.7249999999999996,418.9166666666667,217.83333333333334,540.5
2017-03-05,3,5,2017-03-05,28.55,43.88333333333333,79.58333333333333,1004.5916666666667,214.33333333333334,2.9583333333333335,266.5833333333333,288.3333333333333,492.0
2017-03-06,3,6,2017-03-06,27.99166666666667,51.13333333333333,82.81666666666668,1005.5583333333334,226.25,3.1,24.666666666666668,78.16666666666667,89.08333333333333
2017-03-07,3,7,2017-03-07,29.416666666666668,44.55833333333333,73.875,1004.3250000000002,238.41666666666666,2.533333333333333,259.3333333333333,271.9166666666667,477.5
2017-03-08,3,8,2017-03-08,28.650000000000002,46.85833333333333,80.05,1004.3666666666667,225.16666666666666,2.941666666666667,211.08333333333334,307.0833333333333,466.1666666666667
2017-03-09,3,9,2017-03-09,27.658333333333335,53.133333333333326,84.85833333333333,1005.0083333333332,227.08333333333334,2.858333333333334,30.166666666666668,281.25,303.5833333333333
2017-03-10,3,10,2017-03-10,28.625000000000004,48.791666666666664,81.63333333333333,1004.3083333333334,225.16666666666666,2.7583333333333333,0.3333333333333333,283.25,283.5
2017-03-11,3,11,2017-03-11,28.291666666666668,45.74166666666667,75.73333333333333,1004.125,220.08333333333334,1.8833333333333329,134.33333333333334,334.4166666666667,419.9166666666667
2017-03-12,3,12,2017-03-12,28.233333333333334,48.85833333333333,80.175,1005.0083333333333,217.41666666666666,1.9583333333333333,47.833333333333336,287.4166666666667,332.75
2017-03-13,3,13,2017-03-13,28.71666666666667,50.291666666666664,74.50000000000001,1005.6166666666667,209.66666666666666,1.7166666666666668,168.25,329.0,452.6666666666667
2017-03-14,3,14,2017-03-14,29.025000000000002,50.775,74.59166666666665,1006.975,199.16666666666666,2.316666666666667,245.16666666666666,284.25,488.0833333333333
2017-03-15,3,15,2017-03-15,29.491666666666664,45.63333333333333,71.26666666666667,1006.2499999999999,197.91666666666666,2.183333333333333,126.33333333333333,324.9166666666667,422.5833333333333
2017-03-16,3,16,2017-03-16,29.38333333333333,35.974999999999994,75.98333333333333,1004.2083333333334,239.83333333333334,2.1250000000000004,391.4166666666667,242.83333333333334,542.25
2017-03-17,3,17,2017-03-17,29.592307692307692,33.69230769230769,73.07692307692307,1004.376923076923,215.6153846153846,3.215384615384615,346.38461538461536,230.07692307692307,496.46153846153845
2017-03-18,3,18,2017-03-18,29.43846153846154,42.161538461538456,74.37692307692308,1004.6615384615385,202.6153846153846,2.976923076923077,143.84615384615384,307.3076923076923,421.9230769230769
2017-03-19,3,19,2017-03-19,27.76923076923077,52.392307692307696,85.46923076923076,1006.0307692307692,205.92307692307693,3.1692307692307695,188.07692307692307,276.15384615384613,435.15384615384613
2017-03-20,3,20,2017-03-20,28.308333333333334,50.55833333333333,82.20833333333334,1007.1833333333334,256.6666666666667,2.2666666666666666,61.083333333333336,300.9166666666667,345.25
2017-03-21,3,21,2017-03-21,29.875,44.71666666666667,72.11666666666667,1005.1833333333334,257.5833333333333,2.6583333333333337,185.16666666666666,300.25,461.9166666666667
2017-03-22,3,22,2017-03-22,28.474999999999998,51.30833333333333,77.46666666666667,1006.5583333333334,216.5,3.858333333333334,27.5,310.0,333.5833333333333
2017-03-23,3,23,2017-03-23,27.04615384615385,52.46923076923076,87.69999999999999,1007.4692307692308,225.69230769230768,2.3000000000000003,154.6153846153846,215.92307692307693,349.0
2017-03-24,3,24,2017-03-24,27.96923076923077,51.56153846153847,78.20769230769233,1007.0,228.69230769230768,2.230769230769231,136.0,297.38461538461536,403.7692307692308
2017-03-25,3,25,2017-03-25,28.446153846153855,54.56153846153846,78.6,1006.2615384615385,200.53846153846155,2.4,169.30769230769232,306.0769230769231,429.38461538461536
2017-03-26,3,26,2017-03-26,28.869230769230764,49.83076923076923,76.86923076923077,1006.2307692307694,212.15384615384616,3.3615384615384616,174.07692307692307,274.6923076923077,398.0
2017-03-27,3,27,2017-03-27,29.08333333333333,50.94166666666666,77.35833333333333,1006.3833333333333,205.41666666666666,3.4083333333333345,166.08333333333334,314.5,456.25
